# id	first	last	sha256	cite	governed_by	note
# GENERATED by extract_carried.py from the pinned v17 quarry.
# quarry sha256 ecc088887cb2badb7b349ccfad1cc2c51acd8e74152594ce13f379fa54c2e733
# PUBLIC-RELEASE COPY: sha256 pins each block as extracted from the PRIVATE quarry. The carried files shipped here are scrubbed and reworded public copies (fleet record ids removed, three renamed), so their bytes do NOT match these digests; first/last are quarry line numbers.
changelog_history	419	959	2284d4d0f9b9eb45dd3871f8ab133c5a33ce8a9860fbfd1e751ce2a58e0ca922	v16..v5 change logs	v17's own history — the record of what earlier rounds decided	History is not a derivable fact. A generated 'history' would be a reconstruction, and a reconstruction of a record destroys the record.
handle_lock_order_s3_1	1431	1447	2def914e195ac0e64f042c8bbeb44c2b14f4537641b500af6a17b1cc9d2ad98d	§3.1 lock-scope residual R9'	Windows locking semantics — outside the model (README §7: concurrency)	One of THREE byte-agreeing statements of the handle/lock order, verified agreeing by the v16 voices.
s3_1_lockfileex	1452	1476	160152771cb6009bd63a0b47a3fc22fad32fb016a7b59a3caa54375e7c8d7a2f	§3.1 the lock, build-specified	Win32 API constants — outside the model entirely	The DWORDs and the [0, 2^64-1) interval, recomputed by a v17 voice.
s4_1e_rfc3339_grammar	1972	1983	76b859638c3fb4786216f614f4f369fd0c5cbcffb8bbc14d2f4f26b884cbd7ff	§4.1e the epoch locator's <RFC3339-EXACT> grammar	emitter grammar — outside the model (README §7)	Carried WITH the emitter pin because the two are one obligation and they are NOT contiguous in the quarry.
s4_1e_neut	1984	2034	6fa5682dcf111c4e93cff21fa2072078fd1517c8b46e43a84ad44a86fdb1e12a	§4.1e the carve-out, the NEUT trigger and the reserved token	byte-level grammar — outside the model (README §7)	Carries the carve-out AND the trigger made byte-identical to it (v15-round Q11) AND the exact token bytes. Carried as ONE span because the whole point of the Q11 cure is that the two texts are identical — splitting them would recreate the two-sites-one-condition shape.
s4_1e_emitter	2086	2114	c58892daaa6dcaf921fda45071bd9c5347fad06f348669441a6072caf31d1009	§4.1e the emitter's rendering pin	emitter grammar — outside the model (README §7)	Verified at four cases including microsecond zero by BOTH v17 voices.
custody_trigger_ruling	2609	2618	82c56cef27542a4885fc8ec22ad071f8ddb198acc195d7617ce401905283e736	§5.2 the custody-trigger ruling header + condition (i)	AN AUTHORITY RULING — not a design fact and not this seat's to restate	A paraphrase of a ruling is not the ruling.
custody_flip_actor_pin	2619	2627	92440fbbd2a797b6989c9d786b04a41a3a4b4c8f766224b621d2c98844b3894c	§5.2 the ruling's condition (ii) + the flip-actor pin	AN AUTHORITY RULING — the disabled->auto flip actor	Split from custody_trigger_ruling at the (i)/(ii) boundary so the flip-actor pin carries its OWN sha; concatenating the two reproduces v17 L2609-2627 byte-identically.
handle_lock_order_s6_2	4192	4210	450f2446cb746cd4f9372a409f5828e9b06f36e2c65c68678e685774e12fd293	§6.2 read-handle lifecycle	Win32 open contract — outside the model	Site two of the three byte-agreeing handle/lock order statements.
s8_span	4725	4789	b9e5cbbeb183204759525c18ad28389fcedc88cabe2a5dee9788c0282d984079	§8 ID SCHEME through the §11 TRANSPORT heading line	HMAC and id derivation — outside the model in terms (README §7)	THE COMMISSION'S PIN. Heading-inclusive span; digest re-earned computationally by the codex voice at the v17 round, and explicitly NOT re-earned by the opus voice, which said so.
handle_lock_order_s12	6061	6077	d99363e1391a6b864742f94a89434e2df57a8b4d97c2d519753c16b97bd6d6d1	§12 worker order	in-process queue — outside the model (events are serial)	Site three of the three byte-agreeing handle/lock order statements.
s13_1_107b	6267	6311	54e478a1e4cda61e7825293c53d87e90cd76c9ab906b5440beace724a2c910b9	§13.1 the canonical identity encoding's sole worked example	byte-level encoding — outside the model in terms (README §7)	Recomputed field by field by both v17 voices; 107 bytes total. The model holds identities as opaque symbols and cannot generate this.
s13_5_census_rows	8253	8272	2a3f17ed76975c38c81a03f5a251689c46da69043cc51a3bab38695b5de531f6	§13.5 the startup census row table, rows 1-18	ROW DISPOSITION PROSE — carried, NOT generated	⛔ THE ROW IDENTIFIERS ARE DATA (`CENSUS_ROWS`); THE ROW PROSE IS NOT. Some rows run ~1,500 characters with five lettered arms. Condensing them into generated one-clause summaries would make the DOCUMENT SHORTER THAN THE DESIGN and hide the loss behind a mechanism — a generator silently deleting normative text is a worse failure than any the v17 round found. Raised by the model leg; adopted here.
s9_heading	8529	8537	b2d5fccf08ca3ffd493b495b8476d2d54791b81c7ea29bade1495f5a43891b33	§9 heading and preamble	v17's section framing	
s9_R1_R21	8538	8831	0c856597e192d83107ac4bacd23dbdd3ccd9023fd54aca89afa0af7d2ceab503	§9 residuals R1-R21 and acceptance item A1	residual pricing — carried except where a residual prices a matrix	⚠ A1 sits BETWEEN R19 and R20; a naive R18-R20 carry sweeps it in.
s9_a1_closure	8781	8794	90f45c88b741ac5c1978c14684c628539b9644269c7160b0050b419cb640dd42	§9 A1's closure	CONTAINED IN s9_R1_R21 — an authority ruling, pinned separately	Pinned so the auth fold has its own integrity guarantee; NOT emitted separately, because emitting it twice would create a second site for one fact.
s9_R23	8898	8927	dc50e9b0e8880a1a980c500546814e34b784559b859c4bfd870f35de2c771b20	§9 residual R23	residual pricing — carried	Sits between the two REGENERATED residuals.
s9_R25_R28	8958	9105	c2e200888d00fc66aadfc5303de1b8684a3d9320072f3138dc28d3feb1dc3e4a	§9 residuals R25-R28	residual pricing — carried	
s11_2_append_route	5753	5753	a1ef4efd0341a051a3b1a0dcab813b6fe40d63a8d21adbc5f0ffafed8f86efff	§11.2 the `/api/append` route row	route schema and refusal vocabulary — the APPEND path, which the model does not cover (ruled post-freeze)	The design's OWN append-path refusal list: six named causes plus an explicit open-ended '…'. Carried verbatim rather than derived, because there is nothing in the model to derive it from and re-typing it here would make this document the source of a list it is only reporting.
register	9574	10626	85762a57ac408cdfd3e5e06c8666a6d4aec96000e11709d96a05b8dc2a40deda	§10.2 THIS-SEAT CHOICES REGISTER (a)-(xxxx)	the design-decision record — history under named authority	Entry (a) begins MID-LINE at 9575, so the carry starts at the register header. Two (x)-shaped line starts inside entries are NOT keys.
